iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
104,"(34, 9)","(33, 9)",East,"[(35, 9), (33, 9)]","[(34, 9), (29, 8), (15, 8), (24, 9), (33, 11)]","[(29, 8), (24, 9), (15, 8), (33, 11), (35, 9)]",105,15,41,56
105,"(29, 8)","(29, 7)",North,"[(29, 9), (29, 7)]","[(29, 8), (24, 9), (15, 8), (33, 11), (35, 9)]","[(24, 9), (33, 11), (15, 8), (35, 9), (29, 9)]",106,21,35,56
106,"(24, 9)","(23, 9)",East,"[(25, 9), (23, 9)]","[(24, 9), (33, 11), (15, 8), (35, 9), (29, 9)]","[(15, 8), (33, 11), (29, 9), (35, 9), (25, 9)]",107,25,31,56
107,"(15, 8)","(15, 7)",North,"[(15, 9), (15, 7)]","[(15, 8), (33, 11), (29, 9), (35, 9), (25, 9)]","[(33, 11), (35, 9), (29, 9), (25, 9), (15, 9)]",108,35,21,56
108,"(33, 11)","(33, 10)",North,"[(33, 10)]","[(33, 11), (35, 9), (29, 9), (25, 9), (15, 9)]","[(35, 9), (25, 9), (29, 9), (15, 9)]",109,16,42,58
109,"(35, 9)","(34, 9)",East,"[(35, 10), (34, 9)]","[(35, 9), (25, 9), (29, 9), (15, 9)]","[(29, 9), (25, 9), (15, 9), (35, 10)]",110,16,42,58
110,"(29, 9)","(29, 8)",North,"[(29, 8)]","[(29, 9), (25, 9), (15, 9), (35, 10)]","[(25, 9), (35, 10), (15, 9)]",111,22,36,58
111,"(25, 9)","(24, 9)",East,"[(24, 9)]","[(25, 9), (35, 10), (15, 9)]","[(15, 9), (35, 10)]",112,26,32,58
112,"(15, 9)","(15, 8)",North,"[(15, 10), (15, 8)]","[(15, 9), (35, 10)]","[(35, 10), (15, 10)]",113,36,22,58
113,"(35, 10)","(35, 9)",North,"[(35, 11), (35, 9)]","[(35, 10), (15, 10)]","[(15, 10), (35, 11)]",114,17,43,60
